country,year,infant_mortality,life_expectancy,fertility,population,gdp,continent,region
India,1960,165.1,41.26,5.87,449661874,81042654922,Asia,Southern Asia
Indonesia,1960,148.4,45.01,5.67,87792512,18448917543,Asia,South-Eastern Asia
Iran,1960,191.61,46,6.93,21906905,NA,Asia,Southern Asia
Iraq,1960,131.7,46.96,6.25,7289759,NA,Asia,Western Asia
Ireland,1960,30.4,70.76,3.86,2819059,NA,Europe,Northern Europe
Israel,1960,32,68.55,3.84,2089891,12313161088,Asia,Western Asia
Italy,1960,44.2,69.19,2.37,49714962,293540646267,Europe,Southern Europe
Jamaica,1960,62,65.91,5.42,1630914,NA,Americas,Caribbean
Japan,1960,30.4,67.78,2,92500754,719165142029,Asia,Eastern Asia
Jordan,1960,107.5,53.3,7.69,888632,NA,Asia,Western Asia
Kazakhstan,1960,NA,58.91,4.56,9995997,NA,Asia,Central Asia
Kenya,1960,118.6,47.42,7.95,8105440,2116484537,Africa,Eastern Africa
Kiribati,1960,NA,45.84,6.95,41234,NA,Oceania,Micronesia
South Korea,1960,80.2,53.02,6.16,25074028,28928298962,Asia,Eastern Asia
Kuwait,1960,101.6,62.15,7.25,261962,NA,Asia,Western Asia
Kyrgyz Republic,1960,NA,56.09,5.17,2172500,NA,Asia,Central Asia
Lao,1960,155,42.13,5.96,2119944,NA,Asia,South-Eastern Asia
Latvia,1960,35,70.37,1.9,2132368,NA,Europe,Northern Europe
Lebanon,1960,57.6,62.9,5.74,1804927,NA,Asia,Western Asia
Lesotho,1960,143.3,47.02,5.84,851412,112602724,Africa,Southern Africa
Liberia,1960,212,35.24,6.41,1120314,678395865,Africa,Western Africa
Libya,1960,164.5,44.59,7.54,1434576,NA,Africa,Northern Africa
Lithuania,1960,52,70.33,2.55,2770737,NA,Europe,Northern Europe
Luxembourg,1960,33,68.99,2.35,314586,4302303281,Europe,Western Europe
"Macao, China",1960,NA,64.93,4.95,171456,NA,Asia,Eastern Asia
"Macedonia, FYR",1960,120,60.85,3.72,1488664,NA,Europe,Southern Europe
Madagascar,1960,112,41.96,7.3,5099371,2087989940,Africa,Eastern Africa
Malawi,1960,218.2,38.51,6.91,3618604,347712093,Africa,Eastern Africa
Malaysia,1960,67.4,59.89,6.19,8160975,6631037036,Asia,South-Eastern Asia
Maldives,1960,NA,38.07,7.02,89875,NA,Asia,Southern Asia
Mali,1960,237.4,29.61,6.7,5263730,NA,Africa,Western Africa
Malta,1960,36.4,68.32,3.53,312788,NA,Europe,Southern Europe
Mauritania,1960,135,43.91,6.78,858170,319353267,Africa,Western Africa
Mauritius,1960,67.8,58.74,6.17,660023,NA,Africa,Eastern Africa
Mexico,1960,100.6,57.34,6.78,38174114,94354817785,Americas,Central America
"Micronesia, Fed. Sts.",1960,NA,56.82,6.93,44539,NA,Oceania,Micronesia
Moldova,1960,NA,62.22,3.33,3003557,NA,Europe,Eastern Europe
Mongolia,1960,NA,49.2,6.95,955514,NA,Asia,Eastern Asia
Montenegro,1960,NA,63.86,3.52,487416,NA,Europe,Southern Europe
Morocco,1960,145,49.64,7.07,12328534,7532416437,Africa,Northern Africa
Mozambique,1960,183,38.17,6.6,7493278,NA,Africa,Eastern Africa
Namibia,1960,102,47.07,6.15,602545,NA,Africa,Southern Africa
Nepal,1960,219.6,39.8,5.99,10056945,1354713257,Asia,Southern Asia
Netherlands,1960,16.4,73.35,3.12,11418652,98359287391,Europe,Western Europe
New Caledonia,1960,NA,56.38,5.22,78058,NA,Oceania,Melanesia
New Zealand,1960,22.6,71.28,3.54,2371999,NA,Oceania,Australia and New Zealand
Nicaragua,1960,134,50.69,7.34,1774696,2103502588,Americas,Central America
Niger,1960,NA,36.82,7.05,3395212,1020197091,Africa,Western Africa
Nigeria,1960,165,40.39,6.35,45211614,12836410903,Africa,Western Africa
Norway,1960,18.4,73.66,2.88,3582016,38302651835,Europe,Northern Europe
Oman,1960,164,44.64,7.25,551737,538829577,Asia,Western Asia
Pakistan,1960,192,46.79,6.6,44911810,8608436616,Asia,Southern Asia
Panama,1960,66.9,61.62,5.87,1132924,1930103379,Americas,Central America
Papua New Guinea,1960,134.6,38.6,6.28,1966957,837055577,Oceania,Melanesia
Paraguay,1960,62.6,66.35,6.5,1902871,1263290494,Americas,South America
Peru,1960,135.9,48.95,6.88,10061519,16356280982,Americas,South America
Philippines,1960,67.9,58.82,7.15,26273023,17990832237,Asia,South-Eastern Asia
Poland,1960,57.8,67.92,2.97,29716363,NA,Europe,Eastern Europe
Portugal,1960,84.6,64.23,3.16,8875311,20981025078,Europe,Southern Europe
Puerto Rico,1960,NA,68.58,4.66,2355570,8883563977,Americas,Caribbean
Qatar,1960,94,60.82,6.97,47309,NA,Asia,Western Asia
Romania,1960,69,65.92,2.32,18613835,NA,Europe,Eastern Europe
Russia,1960,NA,68.61,2.56,119860289,NA,Europe,Eastern Europe
Rwanda,1960,127.9,43.07,8.19,2933424,623378345,Africa,Eastern Africa
St. Lucia,1960,NA,56.97,6.97,89901,NA,Americas,Caribbean
St. Vincent and the Grenadines,1960,NA,57.85,7.22,80948,107215633,Americas,Caribbean
Samoa,1960,92,51.45,7.65,108645,NA,Oceania,Polynesia
Saudi Arabia,1960,150,47.62,7.22,4086539,NA,Asia,Western Asia
Senegal,1960,126.3,38.46,6.95,3177560,1870217818,Africa,Western Africa
Serbia,1960,NA,63.33,2.63,7556730,NA,Europe,Southern Europe
Seychelles,1960,73.6,60.42,5.27,41538,48981400,Africa,Eastern Africa
Sierra Leone,1960,223.6,36.07,6.03,2181701,488526149,Africa,Western Africa
Singapore,1960,35.5,65.02,5.82,1633718,3705795365,Asia,South-Eastern Asia
Slovak Republic,1960,33,70.42,3.09,4137224,NA,Europe,Eastern Europe
Slovenia,1960,37,68.62,2.32,1586632,NA,Europe,Southern Europe
Solomon Islands,1960,131.8,50.55,6.39,117869,NA,Oceania,Melanesia
South Africa,1960,NA,49.01,6.17,17396367,38336071006,Africa,Southern Africa
Spain,1960,47.7,69.23,2.77,30450994,113021529146,Europe,Southern Europe
Sri Lanka,1960,72.7,59.76,5.54,9896172,2708601390,Asia,Southern Asia
Sudan,1960,107.4,49.54,6.69,7527450,3292300613,Africa,Northern Africa
Suriname,1960,NA,60.58,6.61,289972,NA,Americas,South America
Swaziland,1960,141.7,44.78,6.72,349233,NA,Africa,Southern Africa
Sweden,1960,16.3,73.01,2.2,7479602,85028727553,Europe,Northern Europe
Switzerland,1960,21.6,71.46,2.52,5296120,NA,Europe,Western Europe
Syria,1960,121.8,52.87,7.47,4592777,2203477369,Asia,Western Asia
Tajikistan,1960,NA,57.1,6.24,2064035,NA,Asia,Central Asia
Tanzania,1960,144.3,45.57,6.81,10074490,NA,Africa,Eastern Africa
Thailand,1960,102.2,55.46,6.15,27397178,8764726641,Asia,South-Eastern Asia
Timor-Leste,1960,NA,37.74,6.37,499525,NA,Asia,South-Eastern Asia
Togo,1960,162.4,41.06,6.52,1580513,278575742,Africa,Western Africa
Tonga,1960,NA,61.2,7.36,61600,NA,Oceania,Polynesia
Trinidad and Tobago,1960,56.6,63.07,5.26,848481,2811586619,Americas,Caribbean
Tunisia,1960,173.4,43.2,7.04,4176266,NA,Africa,Northern Africa
Turkey,1960,166,46.91,6.3,27553280,44566050533,Asia,Western Asia
Turkmenistan,1960,NA,54.91,6.42,1593501,NA,Asia,Central Asia
Uganda,1960,132.3,45.27,7,6788211,NA,Africa,Eastern Africa
Ukraine,1960,NA,70.88,2.42,42662150,NA,Europe,Eastern Europe
United Arab Emirates,1960,137.3,51.85,6.93,92612,NA,Asia,Western Asia
United Kingdom,1960,22.9,71.02,2.69,52410496,525328308407,Europe,Northern Europe
United States,1960,25.9,69.91,3.67,186176524,2479391093100,Americas,Northern America
Uruguay,1960,57.7,67.95,2.88,2538651,10614613898,Americas,South America
Uzbekistan,1960,NA,59.35,6.71,8789492,NA,Asia,Central Asia
Vanuatu,1960,106.7,45.97,7.2,63701,NA,Oceania,Melanesia
Venezuela,1960,59.9,60.08,6.62,8146845,41118729573,Americas,South America
West Bank and Gaza,1960,NA,50.82,7.69,1069399,NA,Asia,Western Asia
Vietnam,1960,75.6,58.52,6.35,32670623,NA,Asia,South-Eastern Asia
Yemen,1960,225,32.64,7.29,5166311,NA,Asia,Western Asia
Zambia,1960,123.2,48.34,7.02,3049586,1666817402,Africa,Eastern Africa
Zimbabwe,1960,92.6,53.11,7.16,3752390,1459732283,Africa,Eastern Africa
Albania,1961,110.8,63.92,6.08,1685901,NA,Europe,Southern Europe
Algeria,1961,148.1,48.02,7.65,11404859,11946771141,Africa,Northern Africa
Angola,1961,NA,36.53,7.35,5367287,NA,Africa,Middle Africa
Antigua and Barbuda,1961,NA,63.46,4.39,55403,NA,Americas,Caribbean
Argentina,1961,59.73,65.53,3.1,20953079,114201892335,Americas,South America
Armenia,1961,NA,67.33,4.51,1934239,NA,Asia,Western Asia
Aruba,1961,NA,66.07,4.66,55435,NA,Americas,Caribbean
Australia,1961,20,71.14,3.55,10494911,98950410413,Oceania,Australia and New Zealand
Austria,1961,35,69.72,2.79,7105654,55294196572,Europe,Western Europe
Azerbaijan,1961,NA,61.76,5.6,4030130,NA,Asia,Western Asia
Bahamas,1961,NA,62.29,4.5,115108,1445610547,Americas,Caribbean
Bahrain,1961,123.8,52.99,7.13,167924,NA,Asia,Western Asia
Bangladesh,1961,171.7,46.73,6.76,49593610,13540691011,Asia,Southern Asia
Barbados,1961,65,62.31,4.31,231674,844470434.1,Americas,Caribbean
Belarus,1961,NA,72.3,2.73,8274486,NA,Europe,Eastern Europe
Belgium,1961,28.1,70.46,2.63,9200393,71634993490,Europe,Western Europe
Belize,1961,NA,60.64,6.48,94701,90765704,Americas,Central America
Benin,1961,183.9,38.8,6.34,2466002,641329522.6,Africa,Western Africa
Bhutan,1961,NA,36.49,6.67,229297,NA,Asia,Southern Asia
Bolivia,1961,170.5,44.14,6.67,3764815,3064252968,Americas,South America
Bosnia and Herzegovina,1961,NA,63.34,3.95,3277096,NA,Europe,Southern Europe
Botswana,1961,112.2,50.7,6.63,536576,132351054.3,Africa,Southern Africa
Brazil,1961,126.1,55.78,6.19,74706888,116168372089,Americas,South America
Brunei,1961,NA,63.11,6.49,85687,NA,Asia,South-Eastern Asia
Bulgaria,1961,NA,70.26,2.23,7935058,NA,Europe,Eastern Europe
Burkina Faso,1961,159.4,35.72,6.32,4894578,620738750.3,Africa,Western Africa
Burundi,1961,144.8,40.85,7,2840375,294235019,Africa,Eastern Africa
Cambodia,1961,NA,42.47,6.96,5872247,NA,Asia,South-Eastern Asia
Cameroon,1961,163.3,44,5.71,5474509,2785779139,Africa,Middle Africa
Canada,1961,27,71.22,3.85,18295922,173205864895,Americas,Northern America
Cape Verde,1961,NA,50.27,6.92,205958,NA,Africa,Western Africa
Central African Republic,1961,162.9,37.89,5.87,1529229,561479896.3,Africa,Middle Africa
Chad,1961,NA,41.35,6.27,3061423,760658940.9,Africa,Middle Africa
Chile,1961,121.1,57.23,5.54,7873504,14657690860,Americas,South America
China,1961,161,32.95,3.28,654625069,51282752582,Asia,Eastern Asia
Colombia,1961,87.6,58.63,6.8,16982313,20019008355,Americas,South America
Comoros,1961,NA,44.47,6.85,191828,NA,Africa,Eastern Africa
"Congo, Dem. Rep.",1961,NA,44.25,6.02,15637715,4451156989,Africa,Middle Africa
"Congo, Rep.",1961,108.4,48.88,5.92,1039966,678538007.8,Africa,Middle Africa
Costa Rica,1961,83.56,62.56,7.3,1381920,2375566267,Americas,Central America
Cote d'Ivoire,1961,203,38.74,7.43,3602075,2202622974,Africa,Western Africa
Croatia,1961,NA,65.26,2.3,4222502,NA,Europe,Southern Europe
Cuba,1961,NA,64.47,4.36,7289828,NA,Americas,Caribbean
Cyprus,1961,NA,70.06,3.47,576395,NA,Asia,Western Asia
Czech Republic,1961,NA,70.77,2.27,9626727,NA,Europe,Eastern Europe
Denmark,1961,20.8,72.55,2.55,4613769,55492247059,Europe,Northern Europe
Djibouti,1961,NA,46.28,6.49,88499,NA,Africa,Eastern Africa
Dominican Republic,1961,101,54.17,7.49,3406299,2949463771,Americas,Caribbean
Ecuador,1961,118.2,54.77,6.67,4676858,3697721716,Americas,South America
Egypt,1961,202.7,48.89,6.61,27810001,12536920098,Africa,Northern Africa
El Salvador,1961,123.9,52.77,6.75,2843246,4159510750,Americas,Central America
Equatorial Guinea,1961,NA,38.04,5.52,255100,NA,Africa,Middle Africa
Eritrea,1961,NA,39.35,6.87,1441297,NA,Africa,Eastern Africa
Estonia,1961,NA,69.74,1.95,1230521,NA,Europe,Northern Europe
Ethiopia,1961,NA,38.35,6.88,22671131,NA,Africa,Eastern Africa
Fiji,1961,52.1,56.12,6.28,407152,452454345,Oceania,Melanesia
Finland,1961,20.6,69.07,2.65,4463432,34824194518,Europe,Northern Europe
France,1961,22.4,71.07,2.8,46471083,369037927246,Europe,Western Europe
French Polynesia,1961,NA,56.71,5.58,80706,NA,Oceania,Polynesia
Gabon,1961,NA,39.15,4.46,504174,1018309175,Africa,Middle Africa
Gambia,1961,146.1,36.16,5.62,376736,NA,Africa,Western Africa
Georgia,1961,NA,63.9,2.97,4225733,NA,Asia,Western Asia
Germany,1961,NA,69.85,2.44,73686490,NA,Europe,Western Europe
Ghana,1961,123.8,46.8,6.79,6866545,1965121691,Africa,Western Africa
Greece,1961,47.3,68.8,2.22,8366020,31353494474,Europe,Southern Europe
Greenland,1961,NA,61.85,7.31,32474,NA,Americas,Northern America
Grenada,1961,NA,61.05,6.63,91260,NA,Americas,Caribbean
Guatemala,1961,143.3,47.12,6.51,4240084,4160561630,Americas,Central America
Guinea,1961,210.5,35.95,6.11,3633778,NA,Africa,Western Africa
Guinea-Bissau,1961,NA,43.39,5.77,623413,NA,Africa,Western Africa
Guyana,1961,65.1,59.24,5.58,582034,403982434.6,Americas,South America
Haiti,1961,191.5,42.68,6.32,3943363,NA,Americas,Caribbean
Honduras,1961,136.6,48.47,7.45,2069085,1529911259,Americas,Central America
"Hong Kong, China",1961,NA,68.01,5.21,3227426,10490975371,Asia,Eastern Asia
Hungary,1961,51,69.06,1.97,10031496,NA,Europe,Eastern Europe
Iceland,1961,17.2,73.6,4.07,179106,1773534306,Europe,Northern Europe
India,1961,162.5,41.99,5.86,458691457,84059664307,Asia,Southern Asia
Indonesia,1961,144.8,45.83,5.66,90138235,19575208346,Asia,South-Eastern Asia
Iran,1961,183.85,46.61,6.92,22480420,NA,Asia,Southern Asia
Iraq,1961,124.7,48.11,6.36,7475354,NA,Asia,Western Asia
Ireland,1961,29.2,70.24,3.93,2816832,NA,Europe,Northern Europe
Israel,1961,NA,68.85,3.84,2174271,13692713599,Asia,Western Asia
Italy,1961,42.7,69.82,2.41,50067464,317632248963,Europe,Southern Europe
Jamaica,1961,59.8,66.57,5.53,1654461,NA,Americas,Caribbean
Japan,1961,27.9,68.43,1.98,93357259,805778057743,Asia,Eastern Asia
Jordan,1961,101.9,54.12,7.8,927850,NA,Asia,Western Asia
Kazakhstan,1961,NA,59.38,4.51,10411040,NA,Asia,Central Asia
Kenya,1961,114,48.13,8,8361442,1949773813,Africa,Eastern Africa
Kiribati,1961,NA,46.24,7.01,42261,NA,Oceania,Micronesia
South Korea,1961,76.1,53.75,5.99,25808542,30356298714,Asia,Eastern Asia
Kuwait,1961,95.2,62.98,7.28,294639,NA,Asia,Western Asia
Kyrgyz Republic,1961,NA,56.54,5.26,2245062,NA,Asia,Central Asia
Lao,1961,NA,42.38,5.96,2169287,NA,Asia,South-Eastern Asia
Latvia,1961,NA,70.6,1.88,2158546,NA,Europe,Northern Europe
Lebanon,1961,56.1,63.19,5.72,1864605,NA,Asia,Western Asia
Lesotho,1961,142.3,47.54,5.83,866253,114702544.3,Africa,Southern Africa
Liberia,1961,212.1,35.54,6.43,1144896,694948646.8,Africa,Western Africa
Libya,1961,156.1,46.28,7.57,1483856,NA,Africa,Northern Africa
Lithuania,1961,NA,70.52,2.5,2807763,NA,Europe,Northern Europe
Luxembourg,1961,NA,69.49,2.38,317442,4469727302,Europe,Western Europe
"Macao, China",1961,NA,65.42,4.76,175135,NA,Asia,Eastern Asia
"Macedonia, FYR",1961,NA,61.49,3.67,1507653,NA,Europe,Southern Europe
Madagascar,1961,NA,42.54,7.3,5223621,2130711083,Africa,Eastern Africa
Malawi,1961,216.4,38.76,6.95,3700032,374275949.2,Africa,Eastern Africa
Malaysia,1961,64.2,60.48,6.14,8429369,7134862821,Asia,South-Eastern Asia
Maldives,1961,NA,38.82,7.08,92327,NA,Asia,Southern Asia
Mali,1961,231.5,29.83,6.73,5322267,NA,Africa,Western Africa
Malta,1961,34.9,68.67,3.38,311702,NA,Europe,Southern Europe
Mauritania,1961,131.9,44.62,6.79,883223,368948551.9,Africa,Western Africa
Mauritius,1961,66.3,59.75,6.18,679045,NA,Africa,Eastern Africa
Mexico,1961,97.7,57.95,6.78,39394125,99075314540,Americas,Central America
"Micronesia, Fed. Sts.",1961,NA,57.18,6.92,45956,NA,Oceania,Micronesia
Moldova,1961,NA,62.61,3.26,3075927,NA,Europe,Eastern Europe
Mongolia,1961,NA,50.15,7.17,982180,NA,Asia,Eastern Asia
Montenegro,1961,NA,64.54,3.42,498128,NA,Europe,Southern Europe
Morocco,1961,142.7,50.11,7.11,12713043,7349737688,Africa,Northern Africa
Mozambique,1961,NA,38.79,6.6,7643290,NA,Africa,Eastern Africa
Namibia,1961,NA,47.7,6.17,617282,NA,Africa,Southern Africa
Nepal,1961,216.7,40.26,5.99,10215153,1380564790,Asia,Southern Asia
Netherlands,1961,16.1,73.54,3.22,11576024,98649984992,Europe,Western Europe
New Caledonia,1961,NA,57.06,5.22,80585,NA,Oceania,Melanesia
New Zealand,1961,21.7,71,3.61,2423769,NA,Oceania,Australia and New Zealand
Nicaragua,1961,132.5,51.53,7.26,1830400,1741191321,Americas,Central America
Niger,1961,NA,36.97,7.08,3493636,1066579260,Africa,Western Africa
Nigeria,1961,NA,41,6.35,46144154,12861030560,Africa,Western Africa
Norway,1961,18,73.67,2.91,3610710,40705505694,Europe,Northern Europe
Oman,1961,237.2,45.57,7.25,564895,544970113.4,Asia,Western Asia
Pakistan,1961,184.8,47.73,6.6,45988447,9123853537,Asia,Southern Asia
Panama,1961,65.3,62.17,5.85,1167041,2137615699,Americas,Central America
Papua New Guinea,1961,130.7,39.2,6.28,2001048,888794937,Oceania,Melanesia
Paraguay,1961,62,66.7,6.49,1953331,1352424687,Americas,South America
Peru,1961,132.6,49.56,6.87,10350239,17558476237,Americas,South America
Philippines,1961,65.9,59.17,7.09,27164618,19001301599,Asia,South-Eastern Asia
Poland,1961,53,68.04,2.85,30138099,NA,Europe,Eastern Europe
Portugal,1961,82.3,62.85,3.18,8899331,22142318529,Europe,Southern Europe
Puerto Rico,1961,NA,68.8,4.55,2395612,9731036209,Americas,Caribbean
Qatar,1961,NA,61.57,6.97,51355,NA,Asia,Western Asia
Romania,1961,NA,66.7,2.16,18780105,NA,Europe,Eastern Europe
Russia,1961,NA,68.85,2.46,121390327,NA,Europe,Eastern Europe
Rwanda,1961,125.3,43.41,8.19,2996091,597789677.5,Africa,Eastern Africa
St. Lucia,1961,NA,57.75,6.93,90913,NA,Americas,Caribbean
St. Vincent and the Grenadines,1961,NA,58.96,7.16,82144,112069602.1,Americas,Caribbean
Samoa,1961,NA,52.04,7.65,112121,NA,Oceania,Polynesia
Saudi Arabia,1961,NA,48.22,7.23,4218879,NA,Asia,Western Asia
Senegal,1961,126,38.63,6.99,3265558,1931233186,Africa,Western Africa
Serbia,1961,NA,63.88,2.6,7613356,NA,Europe,Southern Europe
Seychelles,1961,72.3,61.03,5.4,42402,46589992.71,Africa,Eastern Africa
Sierra Leone,1961,220.5,36.57,6.09,2210169,497363800.2,Africa,Western Africa
Singapore,1961,32.9,65.41,5.56,1690353,4217950558,Asia,South-Eastern Asia
Slovak Republic,1961,NA,70.86,3.01,4193035,NA,Europe,Eastern Europe
Slovenia,1961,NA,68.82,2.33,1596554,NA,Europe,Southern Europe
Solomon Islands,1961,125.4,51.12,6.39,121403,NA,Oceania,Melanesia
South Africa,1961,NA,49.4,6.14,17850045,39810250010,Africa,Southern Africa
Spain,1961,44.4,69.62,2.79,30777097,126401779752,Europe,Southern Europe
Sri Lanka,1961,69.8,60.18,5.42,10129134,2823071268,Asia,Southern Asia
Sudan,1961,105.7,50.04,6.71,7749884,3322278876,Africa,Northern Africa
Suriname,1961,NA,61,6.59,298190,NA,Americas,South America
Swaziland,1961,140.1,45.1,6.73,357522,NA,Africa,Southern Africa
Sweden,1961,16,73.47,2.23,7527081,89859666462,Europe,Northern Europe
Switzerland,1961,21.2,71.79,2.55,5393411,NA,Europe,Western Europe
Syria,1961,116,53.43,7.5,4742596,2442181480,Asia,Western Asia
Tajikistan,1961,NA,57.57,6.27,2140413,NA,Asia,Central Asia
Tanzania,1961,143,45.91,6.81,10373380,NA,Africa,Eastern Africa
Thailand,1961,99,56.01,6.15,28224208,9234702982,Asia,South-Eastern Asia
Timor-Leste,1961,NA,38.45,6.38,508311,NA,Asia,South-Eastern Asia
Togo,1961,159.4,41.74,6.57,1597528,312474881.8,Africa,Western Africa
Tonga,1961,NA,61.56,7.35,63740,NA,Oceania,Polynesia
Trinidad and Tobago,1961,54.7,63.68,5.18,865356,3206251028,Americas,Caribbean
Tunisia,1961,187.5,43.89,7.09,4235936,2957595859,Africa,Northern Africa
Turkey,1961,161.6,47.71,6.24,28229291,45081264990,Asia,Western Asia
Turkmenistan,1961,NA,55.36,6.54,1649914,NA,Asia,Central Asia
Uganda,1961,129.6,45.91,7.02,7006629,NA,Africa,Eastern Africa
Ukraine,1961,NA,71.15,2.31,43203635,NA,Europe,Eastern Europe
United Arab Emirates,1961,130.5,52.89,6.91,100985,NA,Asia,Western Asia
United Kingdom,1961,22.5,70.77,2.75,52765864,540685152092,Europe,Northern Europe
United States,1961,25.4,70.32,3.63,189077076,2536417088242,Americas,Northern America
