country,year,continent,life_expectancy
Qatar,2016,Asia,79.6
Romania,2016,Europe,75.3
Russia,2016,Europe,71.1
Rwanda,2016,Africa,66.1
St. Lucia,2016,Americas,74.8
St. Vincent and the Grenadines,2016,Americas,71.3
Samoa,2016,Oceania,73.3
Saudi Arabia,2016,Asia,79.6
Senegal,2016,Africa,65.6
Serbia,2016,Europe,76.5
Seychelles,2016,Africa,74.2
Sierra Leone,2016,Africa,59.07
Singapore,2016,Asia,82.1
Slovak Republic,2016,Europe,77.8
Slovenia,2016,Europe,81
Solomon Islands,2016,Oceania,64.4
South Africa,2016,Africa,61.4
Spain,2016,Europe,82.7
Sri Lanka,2016,Asia,77.8
Sudan,2016,Africa,67.8
Suriname,2016,Americas,72.2
Swaziland,2016,Africa,53.88
Sweden,2016,Europe,82.1
Switzerland,2016,Europe,83.1
Syria,2016,Asia,69.21
Tajikistan,2016,Asia,72.9
Tanzania,2016,Africa,64.91
Thailand,2016,Asia,74.8
Timor-Leste,2016,Asia,72.5
Togo,2016,Africa,61.9
Tonga,2016,Oceania,71.7
Trinidad and Tobago,2016,Americas,72.5
Tunisia,2016,Africa,77.6
Turkey,2016,Asia,79.3
Turkmenistan,2016,Asia,70.4
Uganda,2016,Africa,61.91
Ukraine,2016,Europe,71.7
United Arab Emirates,2016,Asia,75.4
United Kingdom,2016,Europe,81.1
United States,2016,Americas,79.1
Uruguay,2016,Americas,77
Uzbekistan,2016,Asia,72.1
Vanuatu,2016,Oceania,65.1
Venezuela,2016,Americas,74.8
West Bank and Gaza,2016,Asia,74.7
Vietnam,2016,Asia,75.6
Yemen,2016,Asia,64.92
Zambia,2016,Africa,57.1
Zimbabwe,2016,Africa,61.69
